[2026-05-29 00:20:53,346] 16 root -INFO - Initiate the data ingestion
[2026-05-29 00:21:00,139] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 00:21:00,139] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 00:21:00,141] 75 root -INFO - Exporting train and test file path.
[2026-05-29 00:21:00,364] 84 root -INFO - Exported train and test file path.
[2026-05-29 00:21:00,373] 21 root -INFO - data Transformation started
[2026-05-29 00:21:00,373] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:21:00,376] 56 root -INFO - Starting data transformation
[2026-05-29 00:21:00,906] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:21:00,906] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:21:00,930] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:00,936] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:00,936] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:00,939] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:00,939] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:00,943] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:00,943] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:00,945] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:00,947] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:21:00,947] 56 root -INFO - Starting data transformation
[2026-05-29 00:21:01,002] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:21:01,003] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:21:01,030] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:01,035] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:01,035] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:01,038] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:01,038] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:01,042] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:01,043] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:21:01,045] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:21:01,049] 26 root -INFO - data transformation completed
[2026-05-29 00:21:01,049] 28 root -INFO - Model Training Started
