[2026-05-28 23:51:36,278] 16 root -INFO - Initiate the data ingestion
[2026-05-28 23:51:44,194] 65 root -INFO - Performed train test split on the dataframe
[2026-05-28 23:51:44,194] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-28 23:51:44,195] 75 root -INFO - Exporting train and test file path.
[2026-05-28 23:51:44,425] 84 root -INFO - Exported train and test file path.
[2026-05-28 23:51:44,438] 21 root -INFO - data Transformation started
[2026-05-28 23:51:44,439] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-28 23:51:44,442] 56 root -INFO - Starting data transformation
[2026-05-28 23:51:44,555] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-28 23:51:44,555] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-28 23:51:44,578] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,583] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,583] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,585] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,585] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,589] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,589] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,590] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,593] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-28 23:51:44,593] 56 root -INFO - Starting data transformation
[2026-05-28 23:51:44,638] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-28 23:51:44,638] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-28 23:51:44,656] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,660] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,660] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,662] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,662] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,665] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,667] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 23:51:44,669] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 23:51:44,672] 26 root -INFO - data transformation completed
[2026-05-28 23:51:44,672] 28 root -INFO - Model Training Started
