[2026-05-29 01:00:47,556] 16 root -INFO - Initiate the data ingestion
[2026-05-29 01:00:54,131] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 01:00:54,132] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 01:00:54,133] 75 root -INFO - Exporting train and test file path.
[2026-05-29 01:00:54,298] 84 root -INFO - Exported train and test file path.
[2026-05-29 01:00:54,303] 21 root -INFO - data Transformation started
[2026-05-29 01:00:54,303] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 01:00:54,306] 56 root -INFO - Starting data transformation
[2026-05-29 01:00:54,512] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 01:00:54,512] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 01:00:54,536] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,540] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,541] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,543] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,543] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,545] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,546] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,547] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,549] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 01:00:54,549] 56 root -INFO - Starting data transformation
[2026-05-29 01:00:54,595] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 01:00:54,595] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 01:00:54,613] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,617] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,617] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,618] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,619] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,621] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,621] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:00:54,623] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:00:54,625] 26 root -INFO - data transformation completed
[2026-05-29 01:00:54,626] 28 root -INFO - Model Training Started
[2026-05-29 01:03:58,260] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:03:58,338] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:03:58,338] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 01:03:58,409] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 01:03:58,410] 120 root -INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_29_2026_01_00_44\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9711435121250085, precision_score=0.971589020763993, recall_score=0.9710714285714286, accuracy_score=0.9710714285714286), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9404372945328877, precision_score=0.9412730610008647, recall_score=0.94, accuracy_score=0.94))
[2026-05-29 01:03:58,416] 33 root -INFO - Model Training artifact created 
