[2026-05-29 00:16:08,332] 16 root -INFO - Initiate the data ingestion
[2026-05-29 00:16:15,844] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 00:16:15,845] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 00:16:15,846] 75 root -INFO - Exporting train and test file path.
[2026-05-29 00:16:16,019] 84 root -INFO - Exported train and test file path.
[2026-05-29 00:16:16,024] 21 root -INFO - data Transformation started
[2026-05-29 00:16:16,025] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:16:16,028] 56 root -INFO - Starting data transformation
[2026-05-29 00:16:16,156] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:16:16,156] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:16:16,182] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,187] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,187] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,190] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,190] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,194] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,195] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,196] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,198] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:16:16,198] 56 root -INFO - Starting data transformation
[2026-05-29 00:16:16,246] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:16:16,246] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:16:16,263] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,266] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,266] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,268] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,268] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,270] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,271] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:16:16,273] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:16:16,277] 26 root -INFO - data transformation completed
[2026-05-29 00:16:16,278] 28 root -INFO - Model Training Started
