[2026-05-28 19:45:13,812] 16 root -INFO - Initiate the data ingestion
[2026-05-28 19:45:20,879] 65 root -INFO - Performed train test split on the dataframe
[2026-05-28 19:45:20,879] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-28 19:45:20,880] 75 root -INFO - Exporting train and test file path.
[2026-05-28 19:45:21,050] 84 root -INFO - Exported train and test file path.
[2026-05-28 19:45:21,057] 21 root -INFO - data Transformation started
[2026-05-28 19:45:21,058] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-28 19:45:21,061] 56 root -INFO - Starting data transformation
[2026-05-28 19:45:21,184] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-28 19:45:21,185] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-28 19:45:21,213] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,219] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,219] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,223] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,223] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,230] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,230] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,232] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,234] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-28 19:45:21,234] 56 root -INFO - Starting data transformation
[2026-05-28 19:45:21,295] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-28 19:45:21,295] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-28 19:45:21,313] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,317] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,317] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,318] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,319] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,323] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,323] 43 root -INFO - Entered the save_object method of MainUtils class
[2026-05-28 19:45:21,325] 47 root -INFO - Exited the save_object method of MainUtils class
[2026-05-28 19:45:21,328] 26 root -INFO - data transformation completed
[2026-05-28 19:45:21,329] 28 root -INFO - Model Training Started
