[2026-05-29 17:33:33,016] 16 root -INFO - Initiate the data ingestion
[2026-05-29 17:33:38,820] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 17:33:38,821] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 17:33:38,822] 75 root -INFO - Exporting train and test file path.
[2026-05-29 17:33:39,013] 84 root -INFO - Exported train and test file path.
[2026-05-29 17:33:39,022] 21 root -INFO - data Transformation started
[2026-05-29 17:33:39,023] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 17:33:39,023] 56 root -INFO - Starting data transformation
[2026-05-29 17:33:39,141] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 17:33:39,141] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 17:33:39,164] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,169] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,169] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,171] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,171] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,174] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,175] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,176] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,178] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 17:33:39,178] 56 root -INFO - Starting data transformation
[2026-05-29 17:33:39,225] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 17:33:39,225] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 17:33:39,244] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,248] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,248] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,250] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,250] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,255] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,255] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:39,257] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:39,259] 26 root -INFO - data transformation completed
[2026-05-29 17:33:39,260] 28 root -INFO - Model Training Started
[2026-05-29 17:33:59,464] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:59,542] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:59,543] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:33:59,612] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:33:59,613] 124 root -INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_29_2026_17_33_28\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9791466026643368, precision_score=0.9793584595047924, recall_score=0.9791071428571428, accuracy_score=0.9791071428571428), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9406602280858436, precision_score=0.94117217885567, recall_score=0.9403571428571429, accuracy_score=0.9403571428571429))
[2026-05-29 17:33:59,618] 33 root -INFO - Model Training artifact created 
