[2026-05-29 00:26:20,710] 16 root -INFO - Initiate the data ingestion
[2026-05-29 00:26:28,096] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 00:26:28,097] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 00:26:28,098] 75 root -INFO - Exporting train and test file path.
[2026-05-29 00:26:28,347] 84 root -INFO - Exported train and test file path.
[2026-05-29 00:26:28,353] 21 root -INFO - data Transformation started
[2026-05-29 00:26:28,354] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:26:28,354] 56 root -INFO - Starting data transformation
[2026-05-29 00:26:28,638] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:26:28,639] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:26:28,670] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,676] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,676] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,680] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,680] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,684] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,685] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,687] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,689] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 00:26:28,689] 56 root -INFO - Starting data transformation
[2026-05-29 00:26:28,753] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 00:26:28,754] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 00:26:28,779] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,785] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,785] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,787] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,787] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,792] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,792] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 00:26:28,793] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 00:26:28,797] 26 root -INFO - data transformation completed
[2026-05-29 00:26:28,798] 28 root -INFO - Model Training Started
